Time,PACKAGED ROOFTOP VAV WITH REHEAT:Des Heat Mass Flow [kg/s],PACKAGED ROOFTOP VAV WITH REHEAT:Des Cool Mass Flow [kg/s],PACKAGED ROOFTOP VAV WITH REHEAT:Des Heat Cap [W],PACKAGED ROOFTOP VAV WITH REHEAT:Des Sens Cool Cap [W] 
00:15:00,3.592398E+01,2.115289E+01,1.184032E+06,2.493821E+05 
00:30:00,3.592409E+01,2.096591E+01,1.184035E+06,2.438595E+05 
00:45:00,3.592419E+01,2.078470E+01,1.184038E+06,2.384623E+05 
01:00:00,3.592428E+01,2.060880E+01,1.184041E+06,2.331825E+05 
01:15:00,3.592437E+01,2.046760E+01,1.184044E+06,2.294253E+05 
01:30:00,3.592446E+01,2.033402E+01,1.184047E+06,2.257826E+05 
01:45:00,3.592454E+01,2.020734E+01,1.184050E+06,2.222439E+05 
02:00:00,3.592462E+01,2.008796E+01,1.184052E+06,2.188115E+05 
02:15:00,3.592469E+01,1.997338E+01,1.184055E+06,2.159828E+05 
02:30:00,3.592476E+01,1.986352E+01,1.184057E+06,2.132230E+05 
02:45:00,3.592483E+01,1.975805E+01,1.184059E+06,2.105273E+05 
03:00:00,3.592490E+01,1.965634E+01,1.184062E+06,2.078882E+05 
03:15:00,3.592496E+01,1.955670E+01,1.184064E+06,2.052868E+05 
03:30:00,3.592502E+01,1.945894E+01,1.184066E+06,2.027207E+05 
03:45:00,3.592508E+01,1.936300E+01,1.184068E+06,2.001890E+05 
04:00:00,3.592513E+01,1.926870E+01,1.184069E+06,1.976892E+05 
04:15:00,3.592519E+01,1.917801E+01,1.184071E+06,1.957471E+05 
04:30:00,3.592524E+01,1.909063E+01,1.184073E+06,1.938481E+05 
04:45:00,3.592529E+01,1.900655E+01,1.184075E+06,1.919916E+05 
05:00:00,3.592534E+01,1.893902E+01,1.184076E+06,1.903104E+05 
05:15:00,3.592538E+01,1.892199E+01,1.184078E+06,1.911375E+05 
05:30:00,3.592543E+01,1.897832E+01,1.184079E+06,1.927077E+05 
05:45:00,3.592547E+01,1.913737E+01,1.184081E+06,1.953323E+05 
06:00:00,3.592552E+01,1.945894E+01,1.184082E+06,1.996411E+05 
06:15:00,3.367526E+01,2.076293E+01,1.109915E+06,2.168533E+05 
06:30:00,3.142185E+01,2.209422E+01,1.035644E+06,2.348371E+05 
06:45:00,2.916924E+01,2.338888E+01,9.613996E+05,2.529165E+05 
07:00:00,2.691585E+01,2.467864E+01,8.871292E+05,2.714201E+05 
07:15:00,2.691239E+01,2.511019E+01,8.870152E+05,2.874262E+05 
07:30:00,2.691181E+01,2.548632E+01,8.869961E+05,3.031601E+05 
07:45:00,2.691016E+01,2.580772E+01,8.869418E+05,3.185558E+05 
08:00:00,2.690907E+01,2.609193E+01,8.869058E+05,3.337641E+05 
08:15:00,2.690814E+01,2.637840E+01,8.868751E+05,3.506487E+05 
08:30:00,2.690732E+01,2.669740E+01,8.868481E+05,3.682691E+05 
08:45:00,2.690663E+01,2.706153E+01,8.868253E+05,3.868545E+05 
09:00:00,2.690605E+01,2.747427E+01,8.868063E+05,4.065242E+05 
09:15:00,2.690557E+01,2.791195E+01,8.867903E+05,4.255165E+05 
09:30:00,2.690516E+01,2.835929E+01,8.867768E+05,4.450531E+05 
09:45:00,2.690480E+01,2.881714E+01,8.867651E+05,4.651605E+05 
10:00:00,2.690449E+01,2.927255E+01,8.867549E+05,4.856380E+05 
10:15:00,2.690422E+01,2.972022E+01,8.867460E+05,5.048241E+05 
10:30:00,2.690398E+01,3.015481E+01,8.867381E+05,5.241371E+05 
10:45:00,2.690377E+01,3.055992E+01,8.867310E+05,5.432700E+05 
11:00:00,2.690358E+01,3.092995E+01,8.867247E+05,5.620859E+05 
11:15:00,2.690340E+01,3.125285E+01,8.867190E+05,5.761976E+05 
11:30:00,2.690324E+01,3.151881E+01,8.867138E+05,5.894150E+05 
11:45:00,2.690310E+01,3.172113E+01,8.867090E+05,6.015656E+05 
12:00:00,2.690297E+01,3.186490E+01,8.867046E+05,6.126974E+05 
12:15:00,2.690284E+01,3.198379E+01,8.867005E+05,6.217326E+05 
12:30:00,2.690273E+01,3.211387E+01,8.866967E+05,6.310378E+05 
12:45:00,2.690262E+01,3.228499E+01,8.866932E+05,6.412132E+05 
13:00:00,2.690252E+01,3.251215E+01,8.866899E+05,6.525856E+05 
